article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,closure_type
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,3,Planned Closure,Allina Health,,,,2025-12-01,MN,"Faribault, MN",Consolidate labor and delivery services.,,Allina Health plans to close its Faribault Birth Center on Dec. 1 as part of a new regional obstetric care model.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,4,Planned Closure,Soin Medical Center,,,,,OH,"Beavercreek, OH",Transition obstetric services to Kettering Health Main Campus.,,Soin Medical Center will end obstetric services and transition them to Kettering Health Main Campus.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,5,Planned Closure,Southwest Healthcare Corona Regional Medical Center,,,,2025-01-30,CA,,Declining birth rate in the county.,,Southwest Healthcare Corona Regional Medical Center will close its maternity services on Jan. 30 due to a declining birth rate.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,6,Active Closure,Delta Health,,,,2023-09-17,CO,,Partnered with Montrose Regional Health for OB patients.,,Delta Health ended its obstetrics services on Sept. 17 and partnered with Montrose Regional Health to ensure OB patients have a smooth care transition.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,7,Planned Closure,St. Mary’s Health Care System,,,,,GA,"Lavonia, GA",Consolidate labor and delivery services.,,St. Mary’s Health Care System will end labor and delivery services at St. Mary’s Sacred Heart Hospital and consolidate them with St. Mary’s Hospital in Athens.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,8,Active Closure,UF Health Leesburg Hospital,,,,,FL,,Part of broader alignment at the facility.,,UF Health Leesburg Hospital will end its labor and delivery services later this fall as part of broader alignment.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,9,Planned Closure,Aspirus Health,,,,2025-12-31,WI,"Ironwood, MI",Part of a new service model.,,Aspirus Health plans to end labor and delivery services at its Ironwood Hospital on Dec. 31 as part of a new service model.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,10,Active Closure,Providence Seaside Hospital,,,,2023-10-04,OR,,Declining delivery volumes and shortages of trained physicians and nurses.,,Providence Seaside Hospital closed its inpatient obstetric and newborn care services on Oct. 4 due to declining delivery volumes.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,11,Active Closure,Memorial Hospital Biloxi,,,,2023-09-01,MS,,Transferred obstetrics services to Memorial Hospital Gulfport.,,Memorial Hospital Biloxi ended its obstetrics services and transferred them to Memorial Hospital Gulfport on Sept. 1.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,12,Active Closure,Research Medical Center,,,,2023-09-08,MO,,More than 80% decrease in community use for both services.,,Research Medical Center shuttered its neonatal ICU and ended labor and delivery services on Sept. 8 due to a significant decrease in community use.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,13,Active Closure,Jackson South Medical Center,,,,2023-08-15,FL,"Miami, FL",,,Jackson South Medical Center closed its maternity ward unit on Aug. 15.,closure,unit_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,14,Planned Closure,Copley Hospital,,,,,VT,,Transition to a regional care model.,,Copley Hospital plans to close its birthing center after its board voted to shutter it.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,15,Planned Closure,Providence St. Patrick Hospital,,,,,MT,,Existing and expected healthcare industry challenges.,,Providence St. Patrick Hospital plans to close its family maternity center due to healthcare industry challenges.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,16,Active Closure,Coffey County Hospital,,,,2023-06-30,KS,,End of obstetrics services.,,Coffey County Hospital ended its obstetrics services on June 30.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,17,Active Closure,Houlton Regional Hospital,,,,2023-05-02,ME,,Decline in volume.,,Houlton Regional Hospital ended its inpatient labor and delivery unit on May 2 due to a decline in volume.,closure,unit_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,18,Active Closure,Harrison County Hospital,,,,2023-03-31,IN,,Evaluated national physician recruitment challenges.,,Harrison County Hospital ended its obstetric services on March 31 after evaluating physician recruitment challenges.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,19,Active Closure,Mount Desert Island Hospital,,,,2023-07-01,ME,,Dramatic decline in births.,,Mount Desert Island Hospital ended its labor and delivery unit on July 1 due to a dramatic decline in births.,closure,unit_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,20,Active Closure,Intermountain Health,,,,2023-03-28,CO,"Grand Junction, CO",Declining birth rate and unsustainable decrease in new patients.,,Intermountain Health closed its Bloomin’ Babies Birth Center on March 28 due to declining birth rates.,closure,unit_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,21,Active Closure,UPMC Cole Hospital,,,,2023-04-07,PA,,Consolidating services.,,UPMC Cole Hospital closed its three-bed obstetrics unit on April 7 as part of service consolidation.,closure,unit_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,22,Active Closure,Arkansas Valley Regional Medical Center,,,,2023-04-30,CO,,Challenges like low monthly birth rates and underfunding.,,Arkansas Valley Regional Medical Center ended its obstetrics services on April 30 due to various challenges.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,23,Active Closure,Northern Light Health,,,,2023-03-01,ME,,,,Northern Light Health closed birthing services at Northern Light Inland Hospital and Northern Light Women’s Health on March 1.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,24,Active Closure,Winner Regional Health,,,,2023-02-01,SD,,Physician recruitment challenges and reimbursement difficulties.,,Winner Regional Health closed its labor and delivery services on Feb. 1 due to various challenges.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,25,Active Closure,Cleveland Clinic Martin North Hospital,,,,2023-04-01,FL,,Comprehensive evaluation to optimize care delivery.,,Cleveland Clinic Martin North Hospital closed its labor and delivery services on April 1 and transferred them to another facility.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,26,Active Closure,ThedaCare Medical Center Waupaca,,,,2023-02-15,WI,,Demand shift among expectant mothers.,,ThedaCare Medical Center Waupaca ended labor and delivery services on Feb. 15 due to a shift in demand.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,27,Active Closure,MaineHealth Waldo Hospital,,,,2023-04-01,ME,,,,MaineHealth Waldo Hospital ended its obstetrics and labor and delivery services on April 1.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,28,Active Closure,Mayo Clinic Health System,,,,2023-03-31,MN,"Fairmont, MN",Shortage of physicians in the area.,,Mayo Clinic Health System closed its surgical and labor and delivery units on March 31 due to a shortage of physicians.,closure,unit_closure
"Oregon hospital to end inpatient services, transition to satellite campus",2025-12-04T09:48:14-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/oregon-hospital-to-end-inpatient-services-transition-to-satellite-campus/,1,Planned Closure,Ashland Community Hospital,,,,2026-03-01,OR,"Ashland, Oregon",Transitioning to a satellite campus due to financial and regulatory challenges.,Patients requiring obstetrics care or overnight inpatient stays will be transferred to Rogue Regional Medical Center.,Ashland Community Hospital will end its inpatient and obstetrics services and transition to a satellite campus by spring 2026. This decision is due to financial losses and a significant decline in inpatient admissions. Emergency and outpatient services will continue to operate.,closure,service_line_closure
